qId,segmentId,type,difficulty,tag1,tag2,tag3,lawTag,revisionFlag,conceptId,variantGroupId,source_ref,imageUrl,choiceImageUrl,stem,choiceA,choiceB,choiceC,choiceD,choiceE,explainA,explainB,explainC,explainD,explainE,correct,explainShort,explainLong,status,updatedAt
H25sekisan-011,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,下記は、直接工事費の算出までの建築積算業務の流れを示したものであるが、1から4に示す段階での作業内容のうち、最も不適切なものはどれか。,2 – 積算要領の確認,3 ー メーカー·専門工事会社へ見積依頼,4 ー 単位面積当たりの単価チェック,④ － 単位面積当たりの単価チェック,,,,,,,B,積算要領の確認は、設計図書受領後積算準備前に行う作業である。,,published,2026-04-11
H25sekisan-012,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,工事費の構成に関する次の記述のうち、最も不適切なものはどれか。,建設発生土処理費は、直接工事費に含まれる。,仮囲いの費用は、共通仮設費に含まれる。,工事施工に伴う補償費は、現場管理費に含まれる。,現場従業員の退職金は、一般管理費等に含まれる。,,,,,,,D,5 工事費の構成 5.1.2 共通費の種目 (2) 現場管理費(現場経費)現場従業員に関する給与、賞与、退職金は現場管理費に含まれる。,,published,2026-04-11
H25sekisan-013,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,値入業務において注意すべき点に関する次の記述のうち、最も不適切なものはどれか。,鉄筋の加工が現場加工となる場合は、原則として現場までの距離に応じた運搬費を計上する。,高炉セメントを適用するコンクリートは、割引の単価があるので注意する。,曲面型枠や円柱型枠の単価は、一般型枠に比べて高いので数量の計測·計算には注意する。,ボード材の目地処理は、表面仕上材に加算する方法とボードに加算する方法がある。,,,,,,,A,一般的に現場加工の場合は、現場まで鋼材が搬入されるので運搬費を計上しない。,,published,2026-04-11
H25sekisan-014,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,新築工事における内訳項目に対する刊行物単価の平均的な価格帯で、最も不適切なものはどれか。,普通コンクリート(材料),異形鉄筋(材料),コンクリートこて押え(手間),コンクリートこて押え（手間）,,,,,,,C,"㎡ｔ㎥㎡8,000 ～ 20,000刊行物単価（円）1,000 ～ 5,0003,000 ～ 4,500340 ～ 430刊行物の異形鉄筋のＤ10の単価の相場は、55,000～70,000円くらいでＰ.180、184",,published,2026-04-11
H25sekisan-015,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,概算手法に関する次の記述のうち、最も不適切なものはどれか。,概算業務は、各設計段階でおこなうのが望ましい。,各設計段階で内訳項目を増やし、常に時間と労力を掛けることが望ましい。,早期に概算をおこない、前倒しで問題を解決することが望ましい。,情報量と成果品のバランスが適切で、過不足のない概算をおこなうことが望ましい。,,,,,,,B,情報量と成果品のバランスが適切で過不足のない概算が不可欠である｡必要以上に項目を増やし､時間と労力を掛ければよいというものではない｡Ｐ.194,,published,2026-04-11
H25sekisan-016,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,部分別内訳書の特徴に関する次の記述のうち、最も不適切なものはどれか。,部分別に価格の把握が可能である。,概算時の内訳書式として使用が可能である。,専門工事会社別に価格の把握が可能である。,改修工事などにも利用が可能である。,,,,,,,C,6. 15.2 内訳書の作成にあたって部分別方式では、専門工事会社別に価格の把握ができない。,,published,2026-04-11
H25sekisan-017,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,改修内訳書標準書式による工事費の構成に関して、(A)、(B)、(C)の部分にあてはまる用語の組み合わせで、最も適切なものはどれか。,建具改修,外部改修,外部改修,環境配慮改修,,,,,,,A,表 8.3 の改修書式による工事費の構成参照8 内訳標準書式  8.4 改修内訳標準書式（Ｃ）発生材処理（Ｂ）塗装改修（Ａ）建具改修Ｐ.217,,published,2026-04-11
H25sekisan-018,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,価格に関する次の記述のうち、最も適切なものはどれか。,調査価格と公表価格は実際の取引価格であり、施工条件や施工数量,積算の技術的な相場観の工事価格と市場経済的な相場観の工事価格は、必ず一致する。,積算で求められた積算価格をプライス、最終的な契約価格をコストと区分して考えることが一般的になっている。,歩掛りによって算定した単価は、市場競争を踏まえた実勢価格と乖離する場合がある。,,,,,,,D,乖離する場合がある｡歩掛りによって算定した単価は、市場競争を踏まえた実勢価格と9 市場価格　9.1 相場観の必要性　9.2 価格情報の収集方法と分析Ｐ.222,,published,2026-04-11
H25sekisan-019,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,改修工事に関する次の記述のうち、最も不適切なものはどれか。,「居ながら工事」となる場合が多く、入居者都合による工事可能な,居ながらの改修工事における休日や夜間に作業がある場合、室内の養生、物品の管理方法などは、すべて施主の責任による。,直接仮設に係る費用は、直接仮設以外の改修工事費に対して比率が大きくなる傾向にある。,改修工事は、安全向上、設備更新、ICT対応などの複数要因を合わせて実施するケースが多い。,,,,,,,B,養生、物品の管理方法などは、関係者による細かい取り決めが必要となる居ながらの改修工事における休日や夜間に作業がある場合、室内の14 改修工事　14.2 改修工事の特徴　14.2.3 情報管理への理解と対応Ｐ.315,,published,2026-04-11
H25sekisan-020,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,改修·修繕に関する次の用語のうち、最も不適切なものはどれか。,リノベーション,コンバージョン,プロポーザル,リフォーム,,,,,,,C,プロポーザルとは設計者選定方式である｡14 改修工事 14.1 はじめにＰ.312、26,,published,2026-04-11
H25sekisan-021,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,建築設備の工事科目の分類に関する次の記述のうち、最も適切なものはどれか。,中央監視制御設備は、給排水衛生設備に含まれる。,給水設備は、給排水衛生設備に含まれる。,給湯設備は、空気調和設備に含まれる。,火災報知設備は、空気調和設備に含まれる。,,,,,,,B,火災報知設備は電気設備給湯設備は給排水衛生設備中央監視制御設備は電気設備給水設備は給排水衛生設備に含まれる。,,published,2026-04-11
H25sekisan-022,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,LCC(ライフサイクルコスト)に関する次の記述のうち、最も不適切なものはどれか。,建設コストはLCCの3/4程度であり、残りの1/4が維持運用費と解体・廃棄といわれる。,維持運用費には光熱費などのエネルギーコストのほかに、保全・改修・更新費用も含まれる。,LCCの低減を図るためには全費用をトータルに検討することが必要とされる。,初期投資を抑えただけでは、その後に発生する改修·管理にかかるメンテナンス費用が逆に増えることがある。,,,,,,,A,12 LCC (ライフサイクルコスト)) 12.1 LCCとは建設コストはLCCの1/4程度であり、残りの3/4が維持運用費と解体・廃棄といわれる。,,published,2026-04-11
H25sekisan-023,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,環境配慮項目と省エネ化技術項目の次の組合せのうち、最も不適切なものはどれか。,自然エネルギーの利用,長寿命化,エネルギー・資源の有効利用,エネルギー・資源の有効利用,,,,,,,D,15 環境配慮とコスト 15.3.2 省エネ化技術の事例表15-6: 省エネ化技術項目参照階高のゆとりはエネルギー・資源の有効利用ではない。,,published,2026-04-11
H25sekisan-024,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,建築設備の省エネ化技術の次の記述のうち、最も不適切なものはどれか。,中水設備とは、一度使用した排水を浄化して雑用水として再利用する,コージェネレーションは、発電と同時に排熱を冷暖房や給湯に利用する技術である。,節水型便器の採用は、電気設備の省エネ化技術である。,氷蓄熱は負荷の平準化技術である。,,,,,,,C,15 環境配慮とコスト 15.3.3 省エネ化技術の検討段階·工事区分表15-7: 検討段階 · 工事区分 ·省エネ化技術項目節水型便器は衛生設備である。,,published,2026-04-11
H25sekisan-025,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,設備の特定工事一式を責任施工でおこなう「専門工事」の次のうち、最も不適切なものはどれか。,換気設備工事,消火設備工事,セキュリティ設備工事,ガス設備工事,,,,,,,A,換気設備は空気調和設備工事に含まれ、専門工事会社工事ではない。,,published,2026-04-11
H25sekisan-026,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,設備図面として次のうち、最も不適切なものはどれか。,電灯コンセント図,空調配管図,矩計図,換気ダクト図,,,,,,,C,4 設計図書 4.1 設計図書の構成 4.1.2 設計図矩計図は建築図面である。,,published,2026-04-11
H25sekisan-027,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,建築数量に関する次の記述のうち、最も不適切なものはどれか。,設計数量とは、設計図書に表示されている個数や、設計寸法から求めた正味の数量に材料のロスなどを考慮した数量をいう。,所要数量とは、定尺寸法による切り無駄や、施工上やむを得ない損耗を含んだ数量をいう。,計画数量とは、設計図書に表示されていない施工計画にもとづいた数量をいう。,内訳書の細目数量は小数点以下第1位とする。ただし、100以上の場合は整数とする。,,,,,,,A,(2) 数量とは巻末資料 第1編 総則設計数量とは、設計図書に表示されている個数や、「設計寸法から求めた正味の数量をいい」大部分の施工数量がこれに該当し、材料のロスなどについては単価の中で考慮する。,,published,2026-04-11
H25sekisan-028,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,仮設に関する次の記述のうち、最も不適切なものはどれか。,地足場は基礎工事のために設置されるもので、その数量は建築面積とする。,躯体支保工の数量は階高が5.0m以上の場合に、1.7mごとに高さを区別して算出した対象水平面積とする。,遣り方の数量は、延床面積とする。,鉄筋·型枠足場の数量は、階高により区別した対象延床面積とする。,,,,,,,C,2各直接仮設の計測·計算(1) 遣り方遣り方の数量は、「建築面積」とする。,,published,2026-04-11
H25sekisan-029,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,根切りの法幅に関する関する次の記述のうち、(A)~(D)中に入る数値の組合せで、最も適切なものはどれか。,0,0,A：1.8 - B: 5.0 - C: 0.5 - D: 1.0,A：2.0 - B: 6.0 - C: 0.6 - D: 1.0,,,,,,,B,2 土の処理の計測·計算 (2) 根切り 3)指定のない場合の普通土の法幅の係数は、1 根切り深さが1.5m未満の場合は0とし、法を設けない。2 根切り深さが1.5m以上5.0m未満は0.3を標準とする。3 根切り深さが5.0m以上は0.6を標準とする。,,published,2026-04-11
H25sekisan-030,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,躯体の積算に関する次の記述のうち、最も不適切なものはどれか。,躯体とは、地業と接続する建築物の構造的な骨組部分をいう。,柱の型枠数量は、コンクリートの側面の面積とする。,圧接継手の加工のための鉄筋の長さの変化はないものとする。,斜面の勾配の上面型枠は計測·計算の対象としない。,,,,,,,D,1 通則 (3) 型枠斜面の勾配が3/10を超える場合は、その部分の上面型枠またはコンクリートの上面の処理を計測·計算の対象とする。,,published,2026-04-11
H25sekisan-031,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,躯体の積算に関する次の記述のうち、最も不適切なものはどれか。,フック、定着、余長および重ね継手の長さは、小数点以下第2位を四捨五入し、小数点以下第1位とする。,庇、パラペット、ドライエリアなどの型枠の数量は、基礎、柱、梁、床板、壁、階段に準じて計測·計算する。,型枠の数量は、普通型枠、打放し型枠、曲面型枠など、材料、工法、コンクリート打設面などを区別し、計測·計算する。,小梁とは、大梁に接する横架材の内法部分をいう。,,,,,,,A,488 'dフック、定着、余長および重ね継手の長さについて設計図書に記載のないときは、日本建築学会、建築工事標準仕様書JASS 5鉄筋コンクリート工事の規定を準用し、小数点以下第3位を四捨五入し、小数点以下第2位とする。,,published,2026-04-11
H25sekisan-032,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,コンクリートの積算に関する次の記述のうち、最も不適切なものはどれか。,コンクリートの数量は、設計寸法による体積とする。,小梁のコンクリートの数量は、設計寸法より床板厚さを減じた,柱のコンクリートの数量は、設計寸法による断面積とその長さとによる体積とする。,基礎梁のコンクリートの数量は、設計寸法による断面積とその長さとによる体積とする。,,,,,,,B,2 各部分の計測·計算 (3) 梁梁のコンクリートの数量は、設計寸法による断面積とその長さとによる体積とする。,,published,2026-04-11
H25sekisan-033,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,鉄筋の積算に関する次の記述のうち、最も不適切なものはどれか。,基礎梁の全長にわたる主筋の長さは、基礎梁の長さにその継手長さを加える。,スタラップの長さは、それぞれ基礎梁、梁、壁梁のコンクリートの断面の設計寸法による周長を鉄筋の長さとする。,基礎ベース、柱、梁、床板、壁などの先端で止まる鉄筋は、コンクリートの設計寸法をその部分の鉄筋の長さとする。,幅止筋の長さは、基礎梁、梁、壁梁または壁のコンクリートの設計幅または厚さとし、フックはないものとする。,,,,,,,A,(1) 基礎 3) 基礎梁基礎梁の全長にわたる主筋の長さは、基礎梁の長さにその定着長さを加える。,,published,2026-04-11
H25sekisan-034,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,型枠の積算に関する次の記述のうち、最も不適切なものはどれか。,窓、出入口などの開口部による型枠の欠除は、原則として建具類などの内法寸法とする。,開口部の内法の見付面積が1か所当たり0.5㎡ 以下の場合は、原則として型枠の欠除はないものとする。,梁と床板、基礎梁と底盤、同一幅の柱と梁の接続部は、「さきの部分」の型枠は差し引かない。,開口部の見込部分の型枠は、計測の対象としない。,,,,,,,C,第2節 コンクリート部材の計測·計算 1 通則 (2) 型枠梁と床板、基礎梁などと底盤、同一幅の柱と梁などおよび壁式構造における壁と床板の接続部は、第2章第2節のコンクリート部材の計測·計算2)の定めによる「さきの部分」の接続部の型枠を差し引く。,,published,2026-04-11
H25sekisan-035,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,鉄骨の計測・計算に関する次の記述のうち、最も不適切なものはどれか。,各節柱の接合部の板厚の差などが1.0mmを超える隙間は、フィラープレートが入るものとする。,小梁と大梁の接合のスプライスプレートは、小梁の部分として計測・計算する。,開先き加工、スカラップなどによる鋼材の欠除は、原則としてないものとする。,各節の柱と柱の接合部材は、原則として接合する「さきの部分」に含める。,,,,,,,D,各節の柱と柱の接合部材は、原則として接合する｢あとの部分｣に含める。,,published,2026-04-11
H25sekisan-036,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,屋外施設などの計測·計算に関する次の記述のうち、最も不適切なものは減じた長さを計測·計算する。,排水管の数量は、材種、呼び径ごとに、接続する桝の外法寸法を減じた長さを計測・計算する。,排水桝などの数量は、工法、大きさおよび深さごとに、か所数を数量とする。,コンクリート舗装の目地は、部位、種類ごとに、長さまたはか所数を計測·計算する。,囲障は、敷地造成による擁壁などを除いたものを対象とする。,,,,,,,A,2 各部の計測·計算 (3) 排水管排水管の数量は、材種、呼び径ごとに、接続する桝の内法寸法を減じた長さを計測·計算する。,,published,2026-04-11
H25sekisan-037,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,改修の仮設工事に関する次の記述のうち、最も不適切なものはどれか。,外壁モルタル塗り、外壁タイル張りなどを撤去し、新たに仕上をする場合の墨出し数量は、外壁改修面積とする,防水改修における整理清掃後片付けの数量は、改修防水層の平場面積とする。,資材搬入通路の数量は、廊下、階段室、ホールなどを対象とし、その床面積とする。,内部床、壁および天井を改修する場合の整理清掃後片付けの数量は、改修する部分の床又は天井の面積とする。,,,,,,,C,(2) 養生および整理清掃後片付け 5) 資材搬入路資材搬入通路の数量は、廊下、階段室、ホールなどを対象とし、通路幅を2.0mとした床面積とする。ただし、廊下などの幅が2.0m未満の場合は、その幅を通路幅とした床面積とする。また、エレベータの数量は台数とする。,,published,2026-04-11
H25sekisan-038,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,軽量鉄骨下地とボードによる耐火間仕切の計測·計算に関する次の記述のうち、最も適切なものはどれか。,壁の高さに関係なく、ボードの種類と厚さによって区分する。,軽量鉄骨下地と両面のボードをセットにして、片面の面積で計測・計算する。,耐火シールは間仕切りの上下の延べ長さで計測する。,デッキプレートや鉄骨梁に取り付ける場合の取付金物は、計測の対象としない。,,,,,,,B,2 材種による特則 (5) 耐火間仕切耐火間仕切軽量鉄骨とボードによる耐火間仕切については、軽量鉄骨下地と両面のボードを一括含み、片面面積で計測·計算する。,,published,2026-04-11
H25sekisan-039,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,仕上げ面積を計測·計算する際の、欠除部分の処理に関する次の記述のうち、最も不適切なものはどれか。,建具類などの開口部の面積が1か所当たり0.5㎡以下は、欠除がないものとみなす。,床、天井における柱の小口、壁における梁の小口による欠除は、その部分が1か所当たり0.5㎡以下は欠除がないものとみなす。,照明器具、衛生器具、換気口による欠除は、その面積が1か所当たり0.5㎡以下は、欠除がないものとみなす。,造り付家具、壁面装飾などの附合物は面積にかかわらず、欠除がないものとみなす。,,,,,,,D,附合物などによる欠除造り付家具、壁面装飾などの附合物の面積が1か所当たり0.5㎡以下は、欠除がないものとみなす。,,published,2026-04-11
H25sekisan-040,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,木製建具の計測·計算に関する次の記述のうち、最も不適切なものはどれか。,1,2,3,4,,,,,,,C,6.9 開口部木製建具の枠は、建具とは別に計測する。枠が木製の場合は「木工」に計上し、金属製の場合は金属製建具または金属に計上する。上記のとおり木製建具の枠は、材質にかかわらず建具とは別に計上する。,,published,2026-04-11
H25sekisan-041,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,カーテンウォールの計測·計算に関する次の記述のうち、最も不適切なものはどれか。,方立、力骨、錆止処理などは、仕上の構成部材とし、原則として,耐火パネルは、原則として設計寸法に基づく面積を別計上する。,カーテンウォールの構成部材間のシーリングは、原則として計測の対象としない。,数量は原則として設計図書に記載された形状、寸法による面積またはユニットのか所数による。,,,,,,,B,(15)カーテンウォール方立、力骨、耐火パネル、シーリング、錆止処理などは、仕上の構成部材とし。原則として計測の対象としない。,,published,2026-04-11
H25sekisan-042,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,,,塗装材による表面処理の計測·計算に関する次の記述のうち、最も不適切なものはどれか。,1,2,3,4,,,,,,,D,(12)塗装·吹付材表面に凹凸がある場合など複雑な主仕上又は役物類などの塗装·吹付材による表面処理について計測·計算 するときは、第2章第2節2の(3) 凹凸のある仕上の定めにかかわらず、主仕上の表面の糸幅による面積、または糸幅ごとの延べ長さを数量とする。,,published,2026-04-11
H25sekisan-043,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,images/sekisan/sekisan_H25_043.png,,下図の独立基礎(F1) 1か所の埋戻し土量で、次の数量(㎡)のうち、最も適切なものはどれか。,12.04,200,21.26,"23.352,200",,,,,,,B,2 土の処理の計測·計算(1) 根切り1.60× (2.20+0.50+0.50+0.48) × (2.20+0.50+0.50+0.48) ×1か所=21.67(2) 土中体積(残土)㎥柱 0.80×0.60×0.60×1か所=0.294.34基礎 0.60×2.20×2.20×1か所=2.90捨コン 0.05×2.40×2.40×1か所=0. 29砕石 0.15×2.40×2.40×1か所=0.86(3) 埋戻し [ (1) - (2) ]根切り土中体積㎥L9 'IZ4. 3417.33=,,published,2026-04-11
H25sekisan-044,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,images/sekisan/sekisan_H25_044.png,,"下図における壁(W20) の型枠の設計数量(㎡)として、最も適切なものは次のうちどれか。【開口部リスト】【断面リスト】700 × 700W:400 ×H:800~1,000ございます。立面図(mm)",23.04,22.64,:22.08,21.68,,,,,,,A,第2節 コンクリート部材の計測·計算 2 各部分の計測計算(5)壁型枠の数量は、コンクリートの側面および壁梁底面の面積とする。接続部については、1通則(2) 2)により、開口部については、1 通則(2) 3)による。ただし、階段スラブによる壁の型枠の欠除はないものとする。,,published,2026-04-11
H25sekisan-045,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,images/sekisan/sekisan_H25_045.png,,下図における基礎梁(FG)のコンクリートの設計数量(㎡)として、最も適切なものは次のうちどれか。通り芯は基礎、柱、梁の中心線と同位置である。400:400基礎断面図(mm),"0001,200",000基礎伏せ図(mm)400,4.00,4.06,,,,,,,B,第2節 コンクリート部材の計測·計算 2 各部分の計測計算(1) 基礎 3) 基礎梁㎥FG 0.50×1.40×5.80× 1= 4.063.84F10.20×0.50×0.60× -1= -0.06F20.40×0.50×0.80× -1= -0. 16,,published,2026-04-11
H25sekisan-046,sekisan_II,knowledge,3,Ⅱ数量積算,H25,,,,,,BSIJ公式 H25,images/sekisan/sekisan_H25_046.png,,下図の1~4における梁の全長にわたる主筋の継手の数量(か所)のうち、最も不適切なものはどれか。,2 - 2.5か所,② － 2.5か所,4.3 - 2.5か所4 - 2.0か所,0m7.0m,,,,,,,A,第2節 鉄筋の計測·計算2 各部分の計測·計算(3) 梁 2)連続する梁の全長にわたる主筋の継手については、1 通則4)の規定にかかわらず、梁の長さが、5.0m未満は0.5か所、5.0m以上10.0m未満は1か所、10.0m以上は2か所あるものとする。径の異なる主筋が連続する場合も継手についてはこの規定を準用する。ただし、単独梁および『片持梁の主筋の継手は、1 通則4)』によるものとし、梁の全長にわたる主筋の径が異なる場合の継手の位置は設計図書による。1 通則 4)488 'd重ね継手又は圧接継手について、本基準で別に定める場合を除き、計測·計算した鉄筋の長さについて、『径13mm以下の鉄筋は6.0mごとに、径16mm以上の鉄筋は7.0mごと』に継手があるものとして継手か所数を求める。,,published,2026-04-11
